"id","name","year"
"201","Beverly Hills Cop III","1994"
"202","Ladri Di Biciclette (Bicycle Thieves)","1948"
"203","Big","1988"
"204","Le Grand Bleu (The Big Blue)","1988"
"205","Big Business ","1929"
"206","The Big Chill","1983"
"207","Big DADDY","1999"
"208","The Big Easy","1986"
"209","BIG FISH","2003"
"210","The Big Lebowski","1998"
"211","The Big Sleep","1946"
"212","Bill & Ted’s Excellent Adventure","1989"
"213","Bill & Ted’s Bogus Journey","1991"
"214","Billion Dollar Brain","1967"
"215","BILLY ELLIOT","2000"
"216","Billy Liar","1963"
"217","Billy The Kid","1941"
"218","The Birdcage","1996"
"219","Birdman of alcatraz","1962"
"220","The Birds","1963"
"221","Birdy","1984"
"222","Black Hawk Down","2001"
"223","Black Rain","1989"
"224","Blackmail","1929"
"225","Blade","1998"
"226","blade runner ","1982"
"227","The Blair Witch Project","1999"
"228","BLAZING SADDLES","1974"
"229","Blithe Spirit","1945"
"230","The Blob","1958"
"231","Blonde Bombshell","1933"
"232","The Blood On Satan’s Claw (Satan’s Skin)","1971"
"233","Blood Simple","1984"
"234","Blow Out","1981"
"235","Blowup","1966"
"236","Blue Jasmine","2013"
"237","The Blue Lamp","1950"
"238","Blue Velvet","1986"
"239","The Blues Brothers","1980"
"240","Blow Out","1981"
"241","The Bodyguard","1992"
"242","Boiler Room","2002"
"243","The Bonfire of the vanities","1990"
"244","Boogie Nights","1997"
"245","Boom","1968"
"247","Born On The Fourth Of July","1989"
"248","Boudu SauvÉ Des Eaux","1932"
"249","The Bourne Identity","2002"
"250","The Bourne Supremacy","2004"
"251","The Bourne Ultimatum","2007"
"252","Bowfinger","1999"
"253","The Boyfriend","1971"
"254","Boys Don’t Cry","1999"
"255","Boys Town","1938"
"256","Boyz n the hood","1991"
"257","Brannigan","1975"
"258","Braveheart","1995"
"259","Brazil","1985"
"260","Breakfast At Tiffany's","1961"
"261","Ferris Bueller’s Day Off","1986"
"262","Breaking Away","1979"
"263","Breathless","1983"
"264","Brideshead Revisited","2008"
"265","Bridesmaids","2011"
"266","The Bridge On The River Kwai","1957"
"267","The Bridges of Madison County","1995"
"268","Bridget Jones's Diary","2001"
"269","Brief Encounter","1945"
"270","The Brink’s Job ","1978"
"271","Broadway Danny Rose","1984"
"272","Buffy the Vampire Slayer","1992"
"273","Bugsy","1991"
"274","Bullets Over Broadway","1994"
"275","Bullitt","1968"
"276","Bunny Lake Is Missing","1965"
"277","Buona Sera, Mrs Campbell","1968"
"278","Cabaret","1972"
"279","The Cable Guy","1996"
"280","CachÉ","2005"
"281","Caddyshack","1980"
"282","La Cage Aux Folles","1978"
"283","Caged Heat","1974"
"284","CAPE FEAR","1991"
"285","Captain America: The First Avenger","2011"
"286","Captain America: The Winter soldier","2014"
"287","CARLITO’S WAY","1993"
"288","Carry On Again Doctor","1969"
"289","Carry On At Your Convenience","1971"
"290","Carry On Camping","1969"
