"id@sourceA","name@sourceA","year@sourceA","id@sourceB","name@sourceB","Confidence"
"tt0758758","Into the Wild","2007","fm1008","into the wild","100"
"tt0038650","It's a Wonderful Life","1946","fm1018","It's a Wonderful Life","100"
"tt0087469","Indiana Jones and the Temple of Doom","1984","fm998","Indiana Jones and the Temple of Doom","100"
"tt0118694","In the Mood for Love","2000","fm986","In The Mood For Love","100"
"tt0454848","Inside Man","2006","fm1004","Inside Man","100"
"tt0073195","Jaws","1975","fm1027","Jaws","100"
"tt0467406","Juno","2007","fm1051","Juno","100"
"tt0102138","JFK","1991","fm1036","JFK","100"
"tt0107290","Jurassic Park","1993","fm1053","Jurassic Park","100"
"tt0024216","King Kong","1933","fm1071","King Kong","100"
"tt0053779","La Dolce Vita","1960","fm1104","La Dolce Vita","100"
"tt0056172","Lawrence of Arabia","1962","fm1178","Lawrence of Arabia","100"
"tt1189073","La piel que habito","2011","fm1140","La piel que habito","100"
"tt0335266","Lost in Translation","2003","fm1263","lost in translation","100"
"tt0118799","Life Is Beautiful","1997","fm1210","Life is Beautiful","100"
"tt0314331","Love Actually","2003","fm1265","Love Actually","100"
"tt0120735","Lock, Stock and Two Smoking Barrels","1998","fm1233","Lock, Stock and Two Smoking Barrels","100"
"tt0113627","Leaving Las Vegas","1995","fm1194","leaving las vegas","100"
"tt0110322","Legends of the Fall","1994","fm1195","Legends of the Fall","100"
"tt0093409","Lethal Weapon","1987","fm1202","Lethal Weapon","100"
"tt0416320","Match Point","2005","fm1321","match point","100"
"tt1605783","Midnight in Paris","2011","fm1351","Midnight in Paris","100"
"tt1013753","Milk","2008","fm1358","milk","100"
"tt0209144","Memento","2000","fm1330","Memento","100"
"tt0449059","Little Miss Sunshine","2006","fm1220","little miss sunshine","100"
"tt0071853","Monty Python and the Holy Grail","1975","fm1380","Monty Python and the Holy Grail","100"
"tt0077928","Midnight Express","1978","fm1350","Midnight Express","100"
"tt0132477","October Sky","1999","fm1497","October Sky","100"
"tt1210166","Moneyball","2011","fm1376","Moneyball","100"
"tt0081283","Ordinary People","1980","fm1527","Ordinary People","100"
"tt0079522","Manhattan","1979","fm1308","Manhattan","100"
"tt0408306","Munich","2005","fm1407","Munich","100"
"tt0053125","North by Northwest","1959","fm1462","North By Northwest","100"
"tt0064665","Midnight Cowboy","1969","fm1349","Midnight Cowboy","100"
"tt0405159","Million Dollar Baby","2004","fm1363","Million Dollar Baby","100"
"tt0064116","Once Upon a Time in the West","1968","fm1515","Once Upon a Time in the West","100"
